Model,Registration,TTAF,Price,Engine Hours
1996 Gulfstream G-IVSP,N920KM,6513.0,,
2007 Gulfstream G450,N452NS,3300.0,23395000.0,
1991 Gulfstream G-IV,HB,8587.0,,
1989 Gulfstream G-IV,N198GS,9971.0,,
1998 Gulfstream G-IVSP,N970KG,4400.0,,
2006 Gulfstream G450,N451DC,5604.0,12750000.0,
1988 Gulfstream G-IV,N21FJ,8508.0,,
1995 Gulfstream G-IVSP,N925JS,8621.0,6295000.0,668 Hrs.
1998 Gulfstream G-IVSP,PP,6318.0,,8 Hrs.
1990 Gulfstream G-IV,N970SJ,14703.0,2495000.0,
1992 Gulfstream G-IV,N344AA,9813.0,,
1987 Gulfstream G-IV,N85WD,9601.0,,
1988 Gulfstream G-IV,N200LC,9012.0,2495000.0,
1994 Gulfstream G-IVSP,N99SC,5506.0,6995000.0,
1998 Gulfstream G-IVSP,N168RT,13752.0,,
1989 Gulfstream G-IV,N888ES,7889.0,,
1995 Gulfstream G-IVSP,N432HC,14273.0,4995000.0,791 Hrs.
2001 Gulfstream G-IVSP,N444QG,4556.0,,
2002 Gulfstream G-IVSP,N33LR,4856.0,,
1974 Gulfstream G-II,N132FP,13793.0,500000.0,
1996 Gulfstream G-IVSP,N677FR,6344.0,,
1999 Gulfstream G-IVSP,N125SJ,6354.0,5495000.0,
1993 Gulfstream G-IVSP,N171JC,11905.0,2500000.0,
1996 Gulfstream G-IV,N999AA,8737.0,6495000.0,
1984 Gulfstream G-III,N357KM,9401.0,1195000.0,
2002 Gulfstream G-IVSP,,3770.0,,
2001 Gulfstream G-IVSP,XA,4290.0,,
1999 Gulfstream G-IVSP,,12767.0,,
1993 Gulfstream G-IVSP,N958BX,8411.0,,712 Hrs.
1992 Gulfstream G-IVSP,N180CH,11041.0,4395000.0,
1992 Gulfstream G-IVSP,M,9110.0,4800000.0,
1993 Gulfstream G-IVSP,N101CV,8588.0,,150 Hrs.
1997 Gulfstream G-IVSP,N137WS,7431.0,,813 Hrs.
1997 Gulfstream G-IVSP,N619FL,6212.0,,
1993 Gulfstream G-IVSP,,9150.0,,
2001 Gulfstream G-IVSP,N5956B,4772.0,,
1998 Gulfstream G-IVSP,N970KG,4547.0,7950000.0,
1999 Gulfstream G-IVSP,PP,6693.0,4350000.0,
3027 Gulfstream G-IVSP,N30JE,5313.0,,
